,sideefect
3662,eye haemorrhage
3663,product quality control issue
3664,beta 2 microglobulin decreased
3665,penile swelling
3666,lipid metabolism disorder
3667,carcinoma in situ of trachea
3668,genital hypoaesthesia
3669,red blood cell rouleaux formation present
3670,bromosulphthalein test abnormal
3671,cortisol free urine decreased
3672,third degree chemical burn of skin
3673,platelet adhesiveness abnormal
3674,ultrasound uterus
3675,eosinophilic fasciitis
3677,radiation overdose
3678,gastroenteritis proteus
3679,arteriogram carotid
3680,intensive care
3681,mucopolysaccharidosis ii
3682,benign neoplasm of thyroid gland
3683,sputum decreased
3684,gonorrhoea
3685,painful os peroneum syndrome
3686,remnant gastritis
3687,factor xa activity test
3688,exertional headache
3689,gender dysphoria
3690,post measles blindness
3691,immunotactoid glomerulonephritis
3692,myeloma recurrence
3693,post-traumatic stress disorder
3694,oesophageal ulcer perforation
3695,blood luteinising hormone increased
3697,helicobacter test positive
3698,arthropod-borne disease
3699,post stroke seizure
3700,albuminuria
3701,arthritis bacterial
3702,ruptured cerebral aneurysm
3703,specialist consultation
3704,small cell carcinoma
3705,tilt table test
3706,gastric dilatation
3707,epstein-barr virus antibody
3708,dry mouth
3709,optic nerve glioma
3710,renal artery perforation
3711,coombs positive haemolytic anaemia
3712,application site haemorrhage
3714,post polio syndrome
3715,cardiac fibroma
3716,mixed deafness
3717,macrophage count
3718,hepatocellular carcinoma
3719,metastases to pleura
3720,dural abscess
3721,congenital bronchomalacia
3722,generalised anxiety disorder
3723,nerve compression
3724,meningitis salmonella
3725,peripheral embolism
3726,eczema eyelids
3727,serotonin syndrome
3728,ectropion
3729,alpha 1 foetoprotein
3730,congenital endocrine anomaly
3731,human epidermal growth factor receptor negative
3732,glucose-6-phosphate dehydrogenase deficiency
3734,glucose urine
3735,eyelash changes
3736,mediastinal haematoma
3737,myelocyte count decreased
3738,endocarditis pseudomonal
3739,acute promyelocytic leukaemia
3740,lung lobectomy
3741,brain hypoxia
3742,streptococcal sepsis
3743,phaeochromocytoma excision
3744,blood urea nitrogen/creatinine ratio
3745,pancreatic injury
3746,dry age-related macular degeneration
3747,mitral valve sclerosis
3748,ovarian cancer stage iii
3749,encapsulating peritoneal sclerosis
3750,metastatic renal cell carcinoma
3751,buccal cavity papilloma
3752,neonatal cholestasis
3753,porphyrin metabolism disorder
3754,fistulotomy
3756,viral acanthoma
3757,carotid artery aneurysm
3758,csf culture positive
3759,torsion of the urethra
3761,mucosal toxicity
3762,chronic obstructive pulmonary disease
3763,perianal erythema
3764,periportal oedema
3765,fungal dna test positive
3766,orbital oedema
3768,hereditary fructose intolerance
3769,uterine stenosis
3770,corneal light reflex test normal
3771,venous valve ruptured
3772,implant site papules
3773,sacroiliac fracture
3774,burns fourth degree
3775,splenic artery stenosis
3776,congenital ureteric anomaly
3777,ligament rupture
3778,cerebral atrophy
3779,bladder training
3781,postoperative abscess
3782,coagulation factor xii level decreased
3783,low turnover osteopathy
3784,postoperative care
3785,early satiety
3786,sternal injury
3787,intraoperative care
3788,physiotherapy chest
3789,lymphangioleiomyomatosis
3790,diabetes insipidus
3791,thoracic vertebra injury
3792,pharyngeal polyp
3793,photodermatosis
3794,hormone refractory breast cancer
3795,torsade de pointes
3796,chest x-ray abnormal
3797,application site cellulitis
3798,graft ischaemia
3799,central nervous system dermoid tumour
3800,corneal disorder
3801,foeticide
3802,nervous system disorder
3803,coronary artery thrombosis
3804,no adverse effect
3805,jaw cyst
3806,bone trimming
3807,mucous membrane disorder
3808,anti-interferon antibody positive
3809,blood pressure ambulatory abnormal
3810,human metapneumovirus test
3811,mixed adenoneuroendocrine carcinoma
3812,spinal myelogram abnormal
3813,enteric duplication
3814,rubella
3815,rabies
3816,temporomandibular joint syndrome
3817,heart transplant
3818,social phobia
3819,aortic valve disease mixed
3820,infective exacerbation of chronic obstructive airways disease
3821,tongue haematoma
3822,postmortem blood drug level
3823,venous pressure jugular increased
3824, catatonic type
3825,dermatitis diaper
3827,coagulopathy
3828,upper respiratory tract infection
3829,gestational oedema
3830,pyelonephritis chronic
3831,functional residual capacity abnormal
3832,tropical eosinophilia
3833,transient hypogammaglobulinaemia of infancy
3834,eyelid infection
3835,eczema asteatotic
3836,brain empyema
3837,induction of anaesthesia
3838,red blood cell poikilocytes present
3839,malignant pituitary tumour
3841,night blindness
3842,arterial catheterisation abnormal
3843,thrombosis
3844,cleft palate
3845,acral peeling skin syndrome
3846,lip repair
3847,facial paresis
3848,symbolic dysfunction
3849,postcricoid cancer
3850,hepatobiliary cyst
3851,nerve root compression
3852,leucine aminopeptidase increased
3853,pelvic cyst
3854,epidemic polyarthritis
3855,sleep disorder due to a general medical condition
3856,costochondritis
3857,venipuncture site swelling
3858,endometrial thickening
3859,cataract operation complication
3860,milk soy protein intolerance
3861,benign prostatic hyperplasia
3862,scratch
3863,implant site reaction
3864,laziness
3865,crepitations
3866,device function test
3867,cardiac amyloidosis
3868,benign duodenal neoplasm
3869,chlamydia serology
3870,transitional cell cancer of the renal pelvis and ureter localised
3871,vulval abscess
3872,bronchitis mycoplasmal
3873,flashback
3874, mixed
3875,colorectal cancer stage ii
3876,incision site haemorrhage
3877,craniocerebral injury
3879,cheilitis granulomatosa
3880,melanocytic naevus
3881,mycotic allergy
3882,egfr status assay
3883,ovarian germ cell cancer stage iii
3884,thyroxine abnormal
3885,bile duct t-tube insertion
3886,cardiac granuloma
3887,mandibular mass
3888,anal atresia
3889,spinal cord haemorrhage
3890,herpes zoster meningitis
3891,adrenal cortex necrosis
3892,transurethral incision of prostate
3893,mean cell haemoglobin concentration abnormal
3894,artificial insemination
3895,obstructive airways disorder
3896,cystitis noninfective
3897,neovascular age-related macular degeneration
3898,gastric prolapse
3899,ventriculoperitoneal shunt malfunction
3900,joint adhesion
3901,blood electrolytes increased
3902,hypopituitarism foetal
3903,tongue dysplasia
3904,multiple allergies
3905,paraneoplastic arthritis
3906,replacement of ambulatory peritoneal catheter
3907,withdrawal hypertension
3909,conjunctival bleb
3910,tuberculin test
3911,pseudocholelithiasis
3912,hypoalbuminaemia
3913,head and neck cancer metastatic
3914,administration site induration
3915,oesophageal dilation procedure
3916,penile cellulitis
3917,body mass index
3918,myelopathy
3919,ciliary zonular dehiscence
3920,sudden cardiac death
3921,paralysis flaccid
3922,dental examination
3923,cerebral arteriosclerosis
3924,nodal arrhythmia
3925,parkinsonian crisis
3926,enteral feeding intolerance
3927,benign joint neoplasm
3928,anti-insulin antibody decreased
3929,metastases to peritoneum
3930,bile culture positive
3931,invasive breast carcinoma
3932,obesity
3933,injection site joint warmth
3934,uterine prolapse
3935,implant site rash
3936,neck pain
3937,pneumobilia
3938,white blood cells urine positive
3939,pogosta disease
3940,paracentesis eye abnormal
3942,small intestinal resection
3943,biliary tract disorder
3944,viral epiglottitis
3945,salvage therapy
3946,bk polyomavirus test positive
3947,pseudofolliculitis barbae
3948,psychosis postoperative
3949,adenocarcinoma of colon
3950,soft tissue infection
3951,fallopian tube cancer
3952,quadriparesis
3953,cardiac septal defect
3954,ureterolithiasis
3955,biliary dilatation
3956,device alarm issue
3957,hypertensive hydrocephalus
3958,hiv lipodystrophy
3959,cytokine storm
3960,rectosigmoid cancer
3961,wound debridement
3962,urethral meatotomy
3963,substance dependence
3964,intestinal angioedema
3965,neuroendocrine tumour of the lung metastatic
3966,tuberculosis serology test positive
3967,benzodiazepine drug level
3968,defaecation urgency
3969,drug specific antibody
3970,drug addict
3971,hypercalcaemia of malignancy
3972,testicular oedema
3973,metanephrine urine increased
3974,atrial thrombosis
3975,hepatic steato-fibrosis
3976,benign hydatidiform mole
3977,plasmodium falciparum infection
3978,choristoma
3979,adrenomegaly
3980,pleural sarcoma
3981,epstein-barr virus associated lymphoma
3982,synovial fluid white blood cells positive
3983,abortion induced
3984,spinal fusion acquired
3985,biopsy pancreas
3986,discoloured vomit
3987,oesophageal dilatation
3988,genital infection bacterial
3989,intraocular lens opacity
3990,alpha-1 anti-trypsin deficiency
3991,blood gastrin increased
3992,mycobacterial peritonitis
3993,urogenital infection fungal
3994,maternal exposure before pregnancy
3995,promotion of peripheral circulation
3996,respiratory syncytial virus test positive
3997,intestinal perforation
3998,haemorrhagic fever
3999,hygroma colli
4000,implant site infection
4001,glossopharyngeal nerve paralysis
4002,bladder wall calcification
4003,craniopharyngioma
4004,myelolipoma
4005,uterine hypotonus
4006,haemoperfusion
4007,sternal fracture
4008,neoadjuvant therapy
4009,tendon disorder
4010,pseudomonal sepsis
4011,radiotherapy to vagina
4012,herpes simplex serology positive
4013,gastrointestinal dysplasia
4014,speech rehabilitation
4015,hypernatriuria
4016,ovarian endometrioid carcinoma
4017,eyelid cyst
4018,nocardia test positive
4019,myasthenia gravis crisis
4020,toe walking
4021, disorganised type
4022,pericarditis constrictive
4023,renal embolism
4024,csf myelin basic protein
4025,parvovirus b19 serology positive
4026,platelet-large cell ratio increased
4027,blood beta-d-glucan abnormal
4028,pseudocholinesterase deficiency
4029,varicella
4030,cognitive disorder
4031,skin irritation
4032,carbohydrate antigen 125
4033,hypotony of eye
4034, iii refractory
4035,seroconversion test negative
4037,haematology test
4038,blood cannabinoids increased
4039,sexual abuse
4040,delirium tremens
4041,muscular weakness
4042,hernia perforation
4043,manganese decreased
4044,benign rolandic epilepsy
4045,acoustic neuritis
4046,non-cirrhotic portal hypertension
4047,human anti-mouse antibody positive
4048,vaginal adenocarcinoma
4049,hepatectomy
4050,csf neutrophil count increased
4051,pleuropericarditis
4052,medical induction of coma
4053,incision site haematoma
4054,coagulation factor ix level increased
4055,bacterial abdominal infection
4056,acceleromyography
4057,device use issue
4058,cardiac index abnormal
4059,bone debridement
4060,oral hyperkeratosis
4061,nutritional support
4062,neurolysis
4063,meningitis streptococcal
4064,mycosis fungoides stage ii
4065,pseudoprecocious puberty
4066,time perception altered
4067,pituitary haemorrhage
4068,breast angiosarcoma metastatic
4069,acute focal bacterial nephritis
4070,adrenal gland abscess
4071,late metabolic acidosis of newborn
4072,splenic infection
4073,vascular operation
4074,fractured sacrum
4075,infrapatellar fat pad inflammation
4076,congenital hypertrichosis
4077,lenticular operation
4078,hyperdynamic left ventricle
4079,transplant rejection
4080,carcinoid tumour of the pancreas
4081,melanoplakia oral
4082,respiratory fatigue
4083,craniectomy
4084,keratic precipitates
4085,benign neoplasm of thymus
4086,adenolipoma
4087,nasal polypectomy
4088,cervical root pain
4089,eyelids pruritus
4090,optic neuropathy
4091,menopause delayed
4092,foramen magnum stenosis
4093, grandiose type
4094,fungal cystitis
4095,hepatitis g
4096,vitreous haze
4097,serum procollagen type i n-terminal propeptide decreased
4098,hydranencephaly
4099,idiopathic guttate hypomelanosis
4100,protein s abnormal
4101,haemophilus sepsis
4102,international normalised ratio decreased
4103,vulva cyst
4104,electrocardiogram pr prolongation
4105,tongue atrophy
4106,hypoxic encephalopathy
4107,chromosome banding abnormal
4108,face lift
4109,ocular rosacea
4110,bacterial pyelonephritis
4111,loss of control of legs
4112,urine iodine increased
4113,ectopic posterior pituitary gland
4114,delayed effects of radiation
4115,injection site coldness
4116,bacterial prostatitis
4117,blood pressure orthostatic increased
4118,hepatitis d
4119,hepatitis e
4120,stab wound
4121,pharmaceutical product complaint
4122,hepatitis a
4123,hepatitis b
4124,hepatitis c
4125,uterine irritability
4126,wound infection
4127,post concussion syndrome
4128,breast cyst rupture
4129,auricular swelling
4130,hypercoagulation
4131,biopsy breast
4132,teratoma benign
4133,grip strength
4134,chromoblastomycosis
4135,semen viscosity increased
4136,blood aluminium increased
4137,burkholderia gladioli infection
4138,neonatal intestinal obstruction
4139,endoscopy
4140,device effect variable
4141,gastric mucosa erythema
4142,bariatric gastric balloon insertion
4143,intracardiac mass
4144,infectious crystalline keratopathy
4145,salivary gland adenoma
4146,mumps
4147,hand crushing
4148,wandering pacemaker
4149,neuropsychological test abnormal
4150,gastroduodenitis haemorrhagic
4151,nasal mucosal hypertrophy
4152,oligodendroglioma benign
4153,ct hypotension complex
4154,heart sounds
4155,cryptosporidiosis infection
4156,cubital tunnel syndrome
4157,neonatal respiratory acidosis
4158,seborrhoea
4159,biopsy lip
4160,angioimmunoblastic t-cell lymphoma recurrent
4161,marginal zone lymphoma stage iv
